Date,Open,High,Low,Close,Adj Close,Volume
2019-08-23,26134.210938,26320.289063,25507.179688,25628.900391,25628.900391,364260000
2019-08-26,25826.050781,25941.250000,25716.390625,25898.830078,25898.830078,222780000
2019-08-27,26014.460938,26054.019531,25721.849609,25777.900391,25777.900391,263530000
2019-08-28,25712.990234,26041.570313,25637.429688,26036.099609,26036.099609,207070000
2019-08-29,26249.089844,26408.839844,26185.710938,26362.250000,26362.250000,208650000
2019-08-30,26476.390625,26514.619141,26295.589844,26403.279297,26403.279297,2190810000
2019-09-03,26198.259766,26198.259766,25978.220703,26118.019531,26118.019531,223210000
2019-09-04,26301.990234,26362.349609,26244.439453,26355.470703,26355.470703,202710000
2019-09-05,26603.150391,26836.300781,26603.150391,26728.150391,26728.150391,256670000
2019-09-06,26790.250000,26860.869141,26708.390625,26797.460938,26797.460938,209700000
2019-09-09,26866.230469,26900.830078,26762.179688,26835.509766,26835.509766,273120000
2019-09-10,26805.830078,26909.429688,26717.050781,26909.429688,26909.429688,322340000
2019-09-11,26928.050781,27137.039063,26885.480469,27137.039063,27137.039063,272590000
2019-09-12,27197.320313,27306.730469,27105.009766,27182.449219,27182.449219,250010000
2019-09-13,27216.669922,27277.550781,27193.949219,27219.519531,27219.519531,255260000
2019-09-16,27146.060547,27172.869141,27032.560547,27076.820313,27076.820313,220620000
2019-09-17,27010.119141,27110.800781,26984.140625,27110.800781,27110.800781,223580000
2019-09-18,27075.390625,27161.929688,26899.150391,27147.080078,27147.080078,212860000
2019-09-19,27186.050781,27272.169922,27064.210938,27094.789063,27094.789063,212360000
2019-09-20,27102.179688,27194.750000,26926.679688,26935.070313,26935.070313,497640000
2019-09-23,26851.449219,27011.070313,26831.339844,26949.990234,26949.990234,204240000
2019-09-24,27034.070313,27079.679688,26704.960938,26807.769531,26807.769531,301750000
2019-09-25,26866.710938,27016.560547,26755.859375,26970.710938,26970.710938,237220000
2019-09-26,27004.109375,27015.070313,26803.839844,26891.119141,26891.119141,229180000
2019-09-27,26987.259766,27012.539063,26715.820313,26820.250000,26820.250000,217780000
2019-09-30,26852.330078,26998.859375,26852.330078,26916.830078,26916.830078,222680000
2019-10-01,26962.539063,27046.210938,26562.220703,26573.039063,26573.039063,260110000
2019-10-02,26425.859375,26438.039063,25974.119141,26078.619141,26078.619141,309640000
2019-10-03,26039.019531,26205.199219,25743.460938,26201.039063,26201.039063,241610000
2019-10-04,26271.699219,26590.740234,26271.699219,26573.720703,26573.720703,221310000
2019-10-07,26502.330078,26655.839844,26424.539063,26478.019531,26478.019531,195200000
2019-10-08,26276.589844,26421.810547,26139.800781,26164.039063,26164.039063,244590000
2019-10-09,26308.230469,26424.310547,26249.750000,26346.009766,26346.009766,190060000
2019-10-10,26317.349609,26603.310547,26314.509766,26496.669922,26496.669922,217680000
2019-10-11,26694.199219,27013.970703,26694.199219,26816.589844,26816.589844,282080000
2019-10-14,26766.429688,26874.330078,26749.179688,26787.359375,26787.359375,178620000
2019-10-15,26811.199219,27120.109375,26811.199219,27024.800781,27024.800781,245510000
2019-10-16,26972.310547,27058.339844,26943.289063,27001.980469,27001.980469,214660000
2019-10-17,27032.380859,27112.160156,26970.289063,27025.880859,27025.880859,222540000
2019-10-18,27004.490234,27018.250000,26770.130859,26770.199219,26770.199219,288970000
2019-10-21,26852.669922,26852.669922,26747.619141,26827.640625,26827.640625,241030000
2019-10-22,26850.429688,26946.640625,26782.609375,26788.099609,26788.099609,265510000
2019-10-23,26835.240234,26896.890625,26745.000000,26833.949219,26833.949219,247680000
2019-10-24,26893.929688,26931.779297,26714.339844,26805.529297,26805.529297,253590000
2019-10-25,26789.609375,27015.369141,26765.679688,26958.060547,26958.060547,274610000
2019-10-28,27040.330078,27167.880859,27028.710938,27090.720703,27090.720703,290770000
2019-10-29,27061.070313,27165.939453,27039.759766,27071.460938,27071.460938,269610000
2019-10-30,27110.710938,27204.359375,26999.640625,27186.689453,27186.689453,231750000
2019-10-31,27188.369141,27188.369141,26918.289063,27046.230469,27046.230469,270910000
2019-11-01,27142.949219,27347.429688,27142.949219,27347.359375,27347.359375,270870000
2019-11-04,27402.060547,27517.580078,27402.060547,27462.109375,27462.109375,273030000
2019-11-05,27500.230469,27560.359375,27453.550781,27492.630859,27492.630859,286350000
2019-11-06,27502.740234,27526.050781,27407.810547,27492.560547,27492.560547,237910000
2019-11-07,27590.160156,27774.669922,27590.160156,27674.800781,27674.800781,259020000
2019-11-08,27686.199219,27694.949219,27578.970703,27681.240234,27681.240234,221440000
